Author,Exposure,Outcome,Direction,Strength
,Diabetes,Ischemic stroke,Increase,6
,age,Ischemic stroke,Increase,6
,age,Diabetes,Increase,5
,Sex (Male),Ischemic stroke,Increase,6
,Hypertension,Ischemic stroke,Increase,6
,age,Hypertension,Increase,6
,BMI,Hypertension,Increase,4
,BMI,Diabetes,Increase,4
,BMI,Ischemic stroke,Increase,6
Carrero et al (2018),Atrial fibrillation,Ischemic stroke,Increase,6
de Leeuw et al. (2000),Sex (Male),Atrial fibrillation,Increase,4
Kalantarian et al. (2014),age,Atrial fibrillation,Increase,5
,BMI,Atrial fibrillation,Increase,6
Diez-Villanueva P & Alfonso F. (2019),Hypertension,Atrial fibrillation,Increase,6
,Smoking,Ischemic stroke,Increase,5
,age,Smoking,Increase,5
Pan et al. (2019),Sex (Male),Smoking,Increase,6
Shah & Cole (2010),Smoking,Diabetes,Increase,4
,Smoking,BMI,Decrease,2
,Smoking,Hypertension,Increase,3
Campagna et al. (2019),Smoking,Atrial fibrillation,Increase,6
Maddatu et al. (2017),Hyperlipidemia,Atrial fibrillation,Increase,6
Patel et al. (2011),Hyperlipidemia,BMI,Increase,6
Watanabe et al. (2016),Hyperlipidemia,Hypertension,Increase,6
Halperin et al. (2008),Hyperlipidemia,Diabetes,Increase,6
,Hyperlipidemia,Ischemic stroke,Increase,6
,Diabetes,Atrial fibrillation,Increase,5
,Smoking,Hyperlipidemia,Increase,3
,Sex (Male),Diabetes,Increase,3
,Diabetes,Hypertension,Increase,2
,Hyperlipidemia,GFR,Decrease,2
Bohne et al. (2019),Sex (Male),BMI,Decrease,2
Sensi et al. (2015),Hypertension,GFR,Decrease,2
Hallit et al. (2017),Diabetes,GFR,Increase,3
Jain & Ducatman (2018),Smoking,CKD,Increase,3
Kautzky-Willer et al. (2016),CKD,Atrial fibrillation,Increase,2
Wishner (1996),CKD,Ischemic stroke,Increase,4
