original_term,code,standardized_term,iteration_0,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70
['cachexia'],134765,Cachexia,Clinical finding,Finding by site,Finding by site,Finding by site,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia,Cachexia
['urinary incontinence'],197672,Urinary incontinence,Clinical finding,Functional finding,Functional finding,Functional finding,Functional finding,Functional finding,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence,Urinary incontinence
['kidney disease'],198124,Kidney disease,Clinical finding,Finding by site,Finding by site,Finding by site,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease,Kidney disease
"['diabetes mellitus', 'Diabetes mellitus', 'Diabetes', 'diabetes']",201820,Diabetes mellitus,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder of glucose metabolism,Disorder of body system,Disorder of body system,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus
['pneumonia'],255848,Pneumonia,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia
['dysphagia'],31317,Dysphagia,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia,Dysphagia
"['Atrial Fibrillation', 'Atrial fibrillation', 'present atrial fibrillation', 'atrial fibrillation', 'atrial fibrilation']",313217,Atrial fibrillation,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Heart disease,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Cardiac arrhythmia,Atrial fibrillation,Atrial fibrillation,Atrial fibrillation,Atrial fibrillation,Atrial fibrillation
"['Sleep disturbances / Obstructive Sleep Apnea', 'sleep apnea']",313459,Sleep apnea,Clinical finding,Disease,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep disorder,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea,Sleep apnea
['heart failure'],316139,Heart failure,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Heart disease,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Disorder of cardiac function,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure,Heart failure
"['arterial hypertension', 'Hypertension', 'hypertension', 'blood pressure']",316866,Hypertensive disorder,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder,Hypertensive disorder
