sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
,race,-1,,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,Lacunes,-1,,0.69,APPROVED,EQUAL,Leo,1732973138271,4046360,Lacunar infarction,Condition,MAPS_TO,,Leo,1732973136827,
,chemotherapy,-1,,1.00,APPROVED,EQUAL,Leo,1731540446442,4273629,Chemotherapy,Procedure,MAPS_TO,,<auto>,1731540313159,
,malformations,-1,,0.78,APPROVED,EQUAL,Leo,1731582290021,4079975,Congenital malformation,Condition,MAPS_TO,,Leo,1731582289269,
,kidney disease,-1,,1.00,APPROVED,EQUAL,Leo,1731540449019,198124,Kidney disease,Condition,MAPS_TO,,<auto>,1731540313419,
,botolinum toxin,-1,,0.78,APPROVED,EQUAL,Leo,1732915460460,4229563,Injection of botulinum toxin,Procedure,MAPS_TO,,Leo,1732915458648,
,Glycemic control,-1,,0.81,APPROVED,EQUAL,Leo,1731580312574,4301936,Blood glucose management,Procedure,MAPS_TO,,Leo,1731580311921,
,antidepressants,-1,,0.73,APPROVED,EQUAL,Leo,1731542833395,44784326,Antidepressant therapy,Procedure,MAPS_TO,,<auto>,1731540313611,
,Barthel_Index_follow_up,-1,,0.25,APPROVED,EQUAL,Leo,1732916639553,4126495,Activities of daily living assessment,Procedure,MAPS_TO,,Leo,1732916634114,
,genetic factors,-1,,0.58,APPROVED,EQUAL,Leo,1731580265352,4166231,Genetic predisposition,Observation,MAPS_TO,,Leo,1731580264970,
,infarct localisation,-1,,0.68,APPROVED,EQUAL,Leo,1733005513249,443454,Cerebral infarction,Condition,MAPS_TO,,Leo,1733005512177,
,vessel stenosis/occlusion,-1,,0.47,APPROVED,EQUAL,Leo,1733012657029,4178903,Complete obstruction,Observation,MAPS_TO,,Leo,1733012635017,
,vessel stenosis/occlusion,-1,,0.47,APPROVED,EQUAL,Leo,1733012657029,4217691,Stenosis,Observation,MAPS_TO,,Leo,1733012654695,
,infectious endocarditis,-1,,0.89,APPROVED,EQUAL,Leo,1731581347168,43020873,Acute infective endocarditis,Condition,MAPS_TO,,<auto>,1731540314029,
,peripheral immune competence,-1,,0.59,FLAGGED,EQUAL,Leo,1731583339690,0,Unmapped,,MAPS_TO,,,0,
,occlusion of a blood vessel,-1,,0.79,APPROVED,EQUAL,Leo,1733012626928,4178903,Complete obstruction,Observation,MAPS_TO,,Leo,1733012625558,
,microglial proliferation,-1,,0.69,FLAGGED,EQUAL,Leo,1731582402787,0,Unmapped,,MAPS_TO,,,0,
,Atrial Fibrillation,-1,,1.00,APPROVED,EQUAL,Leo,1731540451754,313217,Atrial fibrillation,Condition,MAPS_TO,,<auto>,1731540314133,
,patent foramen ovale (PFO),-1,,0.59,APPROVED,EQUAL,Leo,1731583321991,4070299,Patent foramen ovale,Condition,MAPS_TO,,<auto>,1731540314141,
,sinus venous thrombosis,-1,,0.86,APPROVED,EQUAL,Leo,1731586445309,4102202,Cerebral venous sinus thrombosis,Condition,MAPS_TO,,Leo,1731586444858,
,male sex,-1,,0.59,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,death,-1,,1.00,APPROVED,EQUAL,Leo,1731540453393,4306655,Death,Observation,MAPS_TO,,<auto>,1731540314474,
,Thiazolidindione,-1,,0.72,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,coagulopathy,-1,,1.00,APPROVED,EQUAL,Leo,1733012470651,4295287,Hypercoagulability state,Condition,MAPS_TO,,Leo,1733012469494,
,cognitive training,-1,,0.74,APPROVED,EQUAL,Leo,1731546817079,4114614,Cognitive skills training,Observation,MAPS_TO,,<auto>,1731540314607,
,speech therapy,-1,,1.00,APPROVED,EQUAL,Leo,1731540503566,4201412,Speech therapy,Observation,MAPS_TO,,<auto>,1731540314627,
,immunodepression,-1,,0.71,APPROVED,EQUAL,Leo,1731581311215,4242843,Immunosuppression,Condition,MAPS_TO,,Leo,1731580910863,
