Author,Exposure,Outcome,Direction,Strength,ID,Status,Corrected_Direction,Exposure_name,Outcome_name
,201820,4310996,Increase,6.0,1,Final,Increase,Diabetes,Ischemic stroke
,4322978,4310996,Increase,6.0,1,Final,Increase,age,Ischemic stroke
,4322978,201820,Increase,5.0,1,Final,Increase,age,Diabetes
,442985,4310996,Increase,6.0,1,Final,Increase,Sex (Male),Ischemic stroke
,316866,4310996,Increase,6.0,1,Final,Increase,Hypertension,Ischemic stroke
,4322978,316866,Increase,6.0,1,Final,Increase,age,Hypertension
,4171825,316866,Increase,4.0,1,Final,Increase,BMI,Hypertension
,4171825,201820,Increase,4.0,1,Final,Increase,BMI,Diabetes
,4171825,4310996,Increase,6.0,1,Final,Increase,BMI,Ischemic stroke
Carrero et al (2018),313217,4310996,Increase,6.0,1,Final,Increase,Atrial fibrillation,Ischemic stroke
de Leeuw et al. (2000),442985,313217,Increase,4.0,1,Final,Increase,Sex (Male),Atrial fibrillation
Kalantarian et al. (2014),4322978,313217,Increase,5.0,1,Final,Increase,age,Atrial fibrillation
,4171825,313217,Increase,6.0,1,Final,Increase,BMI,Atrial fibrillation
Diez-Villanueva P & Alfonso F. (2019),316866,313217,Increase,6.0,1,Final,Increase,Hypertension,Atrial fibrillation
,4298794,4310996,Increase,5.0,1,Final,Increase,Smoking,Ischemic stroke
,4322978,4298794,Increase,5.0,1,Final,Increase,age,Smoking
Pan et al. (2019),442985,4298794,Increase,6.0,1,Final,Increase,Sex (Male),Smoking
Shah & Cole (2010),4298794,201820,Increase,4.0,1,Final,Increase,Smoking,Diabetes
,4298794,4171825,Decrease,2.0,1,Final,Decrease,Smoking,BMI
,4298794,316866,Increase,3.0,1,Final,Increase,Smoking,Hypertension
Campagna et al. (2019),4298794,313217,Increase,6.0,1,Final,Increase,Smoking,Atrial fibrillation
Maddatu et al. (2017),432867,313217,Increase,6.0,1,Final,Increase,Hyperlipidemia,Atrial fibrillation
Patel et al. (2011),432867,4171825,Increase,6.0,1,Final,Increase,Hyperlipidemia,BMI
Watanabe et al. (2016),432867,316866,Increase,6.0,1,Final,Increase,Hyperlipidemia,Hypertension
Halperin et al. (2008),432867,201820,Increase,6.0,1,Final,Increase,Hyperlipidemia,Diabetes
,432867,4310996,Increase,6.0,1,Final,Increase,Hyperlipidemia,Ischemic stroke
,201820,313217,Increase,5.0,1,Final,Increase,Diabetes,Atrial fibrillation
,4298794,432867,Increase,3.0,1,Final,Increase,Smoking,Hyperlipidemia
,442985,201820,Increase,3.0,1,Final,Increase,Sex (Male),Diabetes
,201820,316866,Increase,2.0,1,Final,Increase,Diabetes,Hypertension
,432867,4213477,Decrease,2.0,1,Final,Decrease,Hyperlipidemia,GFR
Bohne et al. (2019),442985,4171825,Decrease,2.0,1,Final,Decrease,Sex (Male),BMI
Sensi et al. (2015),316866,4213477,Decrease,2.0,1,Final,Decrease,Hypertension,GFR
Hallit et al. (2017),201820,4213477,Increase,3.0,1,Final,Increase,Diabetes,GFR
Jain & Ducatman (2018),4298794,46271022,Increase,3.0,1,Final,Increase,Smoking,CKD
Kautzky-Willer et al. (2016),46271022,313217,Increase,2.0,1,Final,Increase,CKD,Atrial fibrillation
Wishner (1996),46271022,4310996,Increase,4.0,1,Final,Increase,CKD,Ischemic stroke
,42872750,42872750,Increase,6.0,2,Final,Increase,NIHSS_stroke,NIHSS_followup
,42872750,3654822,Increase,6.84,2,Final,Increase,NIHSS_stroke,mRS_follow_up
,3654822,3654822,Increase,6.84,2,Final,Increase,mRS_stroke,mRS_follow_up
,3654822,42872750,Increase,6.84,2,Final,Increase,mRS_stroke,NIHSS_followup
,4084390,42872750,Increase,6.84,2,Final,Increase,lesion_size,NIHSS_stroke
,4084390,3654822,Increase,6.84,2,Final,Increase,lesion_size,mRS_stroke
,4084390,3654822,Increase,6.84,2,Final,Increase,lesion_size,mRS_follow_up
,4084390,42872750,Increase,6.84,2,Final,Increase,lesion_size,NIHSS_followup
,12,42872750,Increase,6.84,2,Final,Increase,time_to_therapy,NIHSS_followup
,12,3654822,Increase,6.84,2,Final,Increase,time_to_therapy,mRS_follow_up
,4084390,4126495,Decrease,6.0,2,Final,Decrease,lesion_size,Barthel_Index_stroke
eloquent / non-eloquent,4104314,4126495,Decrease,6.0,2,Final,Decrease,lesion_location,Barthel_Index_stroke
eloquent / non-eloquent,4104314,42872750,Increase,6.84,2,Final,Increase,lesion_location,NIHSS_stroke
eloquent / non-eloquent,4104314,42872750,Increase,6.84,2,Final,Increase,lesion_location,NIHSS_followup
