Author,Exposure,Outcome,Direction,Strength,ID,Status,Exposure_Standardized,Outcome_Standardized
,Diabetes,Ischemic stroke,Increase,6.0,1,Final,Diabetes mellitus,Ischemic stroke_1.0
,age,Ischemic stroke,Increase,6.0,1,Final,Age factor,Ischemic stroke_1.0
,age,Diabetes,Increase,5.0,1,Final,Age factor,Diabetes mellitus
,Sex (Male),Ischemic stroke,Increase,6.0,1,Final,Male,Ischemic stroke_1.0
,Hypertension,Ischemic stroke,Increase,6.0,1,Final,Hypertensive disorder,Ischemic stroke_1.0
,age,Hypertension,Increase,6.0,1,Final,Age factor,Hypertensive disorder
,BMI,Hypertension,Increase,4.0,1,Final,Increased body mass index,Hypertensive disorder
,BMI,Diabetes,Increase,4.0,1,Final,Increased body mass index,Diabetes mellitus
,BMI,Ischemic stroke,Increase,6.0,1,Final,Increased body mass index,Ischemic stroke_1.0
Carrero et al (2018),Atrial fibrillation,Ischemic stroke,Increase,6.0,1,Final,Atrial fibrillation,Ischemic stroke_1.0
de Leeuw et al. (2000),Sex (Male),Atrial fibrillation,Increase,4.0,1,Final,Male,Atrial fibrillation
Kalantarian et al. (2014),age,Atrial fibrillation,Increase,5.0,1,Final,Age factor,Atrial fibrillation
,BMI,Atrial fibrillation,Increase,6.0,1,Final,Increased body mass index,Atrial fibrillation
Diez-Villanueva P & Alfonso F. (2019),Hypertension,Atrial fibrillation,Increase,6.0,1,Final,Hypertensive disorder,Atrial fibrillation
,Smoking,Ischemic stroke,Increase,5.0,1,Final,Smoker,Ischemic stroke_1.0
,age,Smoking,Increase,5.0,1,Final,Age factor,Smoker
Pan et al. (2019),Sex (Male),Smoking,Increase,6.0,1,Final,Male,Smoker
Shah & Cole (2010),Smoking,Diabetes,Increase,4.0,1,Final,Smoker,Diabetes mellitus
,Smoking,BMI,Decrease,2.0,1,Final,Smoker,Increased body mass index
,Smoking,Hypertension,Increase,3.0,1,Final,Smoker,Hypertensive disorder
Campagna et al. (2019),Smoking,Atrial fibrillation,Increase,6.0,1,Final,Smoker,Atrial fibrillation
Maddatu et al. (2017),Hyperlipidemia,Atrial fibrillation,Increase,6.0,1,Final,Hyperlipidemia,Atrial fibrillation
Patel et al. (2011),Hyperlipidemia,BMI,Increase,6.0,1,Final,Hyperlipidemia,Increased body mass index
Watanabe et al. (2016),Hyperlipidemia,Hypertension,Increase,6.0,1,Final,Hyperlipidemia,Hypertensive disorder
