Exposure,Outcome,Confidence_Sum,Confidence_Mean,Confidence_Direction,Direction
11,10,5.2,5.2,5.2,Increase
11,4068351,6.84,6.84,6.84,Decrease
11,4234656,6.84,6.84,6.84,Increase
12,3654822,6.84,6.84,6.84,Increase
12,4126495,6.0,6.0,6.0,Decrease
12,42872750,6.84,6.84,6.84,Increase
13,37311069,6.84,6.84,6.84,Increase
13,4310996,4.0,4.0,4.0,Increase
134765,4306655,4.8,4.8,4.8,Increase
14,12,2.68,2.68,2.68,Increase
14,4051022,6.84,6.84,6.84,Decrease
14,4185284,6.84,6.84,6.84,Decrease
15,4231363,0.51,0.51,0.51,Increase
16,14,2.0,2.0,2.0,Decrease
197672,36713755,2.68,2.68,2.68,Increase
197672,4059015,2.68,2.68,2.68,Increase
197672,4181165,0.51,0.51,0.51,Increase
198124,4009409,2.0,2.0,2.0,Increase
198124,4310996,5.0,5.0,5.0,Increase
2,10,6.84,6.84,6.84,Decrease
201820,197672,0.51,0.51,0.51,Increase
201820,198124,6.84,6.84,6.84,Increase
201820,313217,5.0,5.0,5.0,Increase
201820,316866,6.52,3.26,6.52,Increase
201820,4052648,6.84,6.84,6.84,Increase
201820,4103842,6.84,6.84,6.84,Increase
201820,4119952,6.84,6.84,6.84,Increase
201820,4171825,4.52,4.52,4.52,Increase
201820,4213477,3.0,3.0,3.0,Increase
201820,4234649,5.1,5.1,5.1,Decrease
201820,4275337,6.0,6.0,6.0,Increase
201820,4306655,4.52,4.52,4.52,Increase
201820,4306703,12.490000000000002,4.163333333333334,12.490000000000002,Increase
201820,4310996,80.32000000000002,5.737142857142858,80.32000000000002,Increase
201820,432250,3.22,3.22,3.22,Increase
201820,4329847,2.68,2.68,2.68,Increase
201820,434633,4.0,4.0,4.0,Increase
201820,443432,6.61,3.305,2.6100000000000003,Increase
201820,604179,6.0,6.0,6.0,Increase
255848,373995,0.51,0.51,0.51,Increase
255848,40486533,6.84,6.84,6.84,Decrease
255848,4052648,0.51,0.51,0.51,Increase
255848,4085730,6.84,6.84,6.84,Increase
255848,4178904,6.84,6.84,6.84,Increase
255848,4306655,12.84,6.42,12.84,Increase
255848,443432,5.1,5.1,5.1,Increase
